path,label
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__0.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__1.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__2.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__3.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__4.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__5.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__6.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__7.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__8.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view1__9.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__0.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__1.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__2.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__3.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__4.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__5.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__6.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__7.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__8.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0000_view2__9.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0002_view1__0.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0002_view1__1.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0002_view1__2.npy,Fighting
C:/Users/pc/Desktop/VAD/newGTAClip/newGTAKnife/0002_view1__3.npy,Fighting
